narrative,product_5
"I leased a vehicle in XX/XX/XXXX, and financed it with Ally Financial. In XX/XX/XXXX I refinanced the vehicle with my bank XXXX XXXX XXXX XXXX. Ally Financials agents over the phone told me for months numerous times that the vehicle title would be coming in the mail. Months later no title came in, my XXXX XXXXXXXX XXXX increased my APR and loan rate due to no vehicle title being provided. In XX/XX/XXXX Ally Financial agent stated that I still owed {$20000.00} on the leased vehicle before it would be paid off. I then said that I would remain with Ally Financial since this new information occurred, I requested for a refund of the pay off check I used to refinance the car to give back to my bank. Ally Financial stated that they were refunding the check and that I would receive the check in 10-15 business days. I calculated that by XX/XX/XXXX I should receive the refund from Ally Financial. No check came and now I am receiving calls from Ally Financial that my vehicle is at risk of repossession. An Ally Financial agent called today and stated that the refund check was approved on the XXXX of XX/XX/XXXX, but the key was entered incorrectly so the check was not sent out. The agent then asked to take money off the refund check that is owed dating back to XX/XX/XXXX. Ally Financial was holding my refinance vehicle title hostage and strong armed me into staying with them. Now they are holding my refund check hostage and now threatened with my vehicle being repossessed although they have not sent in the check and asking for more money.",Loans
"I filed a dispute for incorrect information on my credit report. I received an email from the credit bureau stating that they are assuming the disputes are coming from a XXXX party. They in fact did not come from a XXXX party. l even called them to verify it was me and they still refused to process my disputes. I wasted money on mailing my disputes out. I sent personal information to verify my identity through mail, just for them to not thoroughly investigate.",Credit Reporting
What happened it was a romance scam. it will be in the attachment.,Bank Accounts and Services
"Ally bank told me they are ending their relationship with me and closing my accounts, and gave no reasons as to why. They said they would send me a check with my remaining fund within 10 days. They never sent me anything. They basically stole my money. and it's been almost 2 months.",Bank Accounts and Services
Company ran my credit with it my consent or authorization,Credit Reporting
YOU ARE VIOLATING MY FCRA & FDCPA CONSUMER RIGHTS. The federal law under the FCRA states that in order to disclose my personal information you have to have my written consent making you liable for any remedy under the 15 U.S Code 1681n ( a ) ( 1 ) ( A ) Civil Liability section. After reviewing my consumer report it has come to my attention that your office have again violated my privacy.,Credit Reporting
"I am disputing some items that need to be deleted. I have highlighted the disputed item on the attached copy. The reasons why these items should be deleted are indicated below : CAPITAL ONE XXXX XXXX XXXX XXXX XXXX XXXX, UT XXXX CAPITAL ONE ACCOUNT NUMBER : XXXX Reason for deletion : Reporting late payment. However, the account has never been late. Investigate and remove ALL late payment history. According to the provisions of the Fair Credit Reporting Act 611 ( a ) [ 15 USC 1681i ( a ) ], these disputed items must be reinvestigated or deleted from my credit record within 30 days.",Credit Card Services
"Dear Sir or Madam, Earlier this year I applied for the Colorado Property Tax Deferral Program. This is available for senior citizens who meet certain requirements. I was approved for the program, which means the State of Colorado paid my XXXX property taxes due in XXXX. The amount was just over {$6200.00}. They file a lien on my property and the amount has to be paid back when the property is sold. 

Since my mortgage servicer, Citizens Bank, had already paid the first installment back in XXXX, the County where I reside, refunded {$3100.00} to them through a company named XXXX, which manages tax payments on behalf of mortgage companies. This happened on XX/XX/XXXX. 

I have called Citizens on three occasions in the past 30 days to inquire about this situation and have been told that they will do an escrow analysis to lower my payment and also possibly issue a refund of the overpayment. However, they have not yet resolved the issue and I was told again today to call back next week as they need to 'escalate ' the matter. 

I am a senior citizen with several medical conditions and applied for this deferral program because we are trying to reduce our expenses as best we can. 

Another issue I have with Citizens is that their online portal does not show any escrow information ( it used to several years ago ). I have brought this to their attention on multiple occasions and they just keep sending me to their IT department, who in turn proceed to do nothing. 

I ask the CFPB to reach out on my behalf to request that this issue be resolved and that they provide accurate escrow accounting in their online portal, like they used to. 

Thank you in advance for your assistance in this matter. 

Best regards, XXXX XXXX XXXX",Loans
"I had XXXX cards compromised as they were stolen and used by someone other than myself. I filed a complaint XX/XX/year> with both card issuers, XXXX being XXXX and the other being my USAA debit card. The person/people who took my card basically went on a shopping spree on my dime to XXXX XXXX for {$300.00}, XXXX XXXX for {$170.00} and several other stores. I was unaware until I went to use my card for my son, as the weekend it happened was his birthday weekend. I live nowhere near the facilities that were used and do not frequent any of the places these individuals used my card at. I was given a "" provisional '' credit while USAA investigated it. Just XXXX weeks ago, XX/XX/XXXX, they came back stating that the charges were not fraudulent "" based off the information that they had at the time of review '' and were being re-debited from my account again. I didn't even realize this had happened, as all contact has been digital, and nothing came in the mail. I didn't even get a phone call. These charges were NOT done by me and I am quite shocked that USAA would do this. I have been with them for almost 20 years and am REALLY rethinking this decision and will definitely be contemplating switching banks. Mind you, there was {$600.00} that was fraudulently utilized off my XXXX XXXX card by these same individuals which was credited back and never had to hear about it again. USAA has caused nothing but a headache and stress to this retired, XXXX vet.",Bank Accounts and Services
"Wells Fargo has reversed a provisional credit that I am due from the company XXXX. Through XXXX, I hired a "" pro '' to perform work at my home. The "" pro '' never showed and despite XXXX 's own information on their website stating that they don't charge until the work is complete, that is a lie. They chat very nicely and say they want to help, but don't fix the problem.",Bank Accounts and Services
i have many charges on my account from online sources and duplicate charges that wells Fargo has refused to investigate thoroughly according to fraud protection. they denied my claim immediately with no explanation,Bank Accounts and Services
"My complaint is in regard to the settled CFPB vs Wells Fargo settlement. 
File # XXXX I have spoken with Wells Fargo and they state all related checks have already been sent out. 
I have not received any check or correspondance from Wells Fargo up until XXXX XXXX. I believe I fall within all parameters to warrant compensation.",Loans
"I understand the importance of removing any inaccurate information from my credit report in accordance with FCRA 605B. Could you please review the documents? I've noticed discrepancies in several accounts, which is concerning to me.",Debt Collection
"Recently, I reviewed a copy of my credit report and noticed that there are fraudulent accounts on my report. These accounts are not mine, and I have no connection to them. Since they are negatively affecting my credit score and my ability to rebuild it, I kindly request that you remove these fraudulent accounts from my credit report. 

This request is made under the Fair Credit Reporting Act, which protects me from inaccurate or misleading information in my credit report. I would appreciate your prompt attention to this matter and confirmation of the removal of these fraudulent accounts from my credit history. 

I am attaching copies of the necessary documents to verify my identity and support my request. Please let me know the status of this claim as soon as possible",Credit Reporting
I was never given notice that my car would be repossessed. I was never given notice of the date my car would be sold at auction. I was never given notice the amount my car was sold at auction. I was never refunded money for my auto warranty and Gap Insurance. Balance showing is {$15.00} which is incorrect,Loans
Upon reviewing my credit report I noticed a fraudulent account. I contacted Macy 's to confirm this account is fraudulent. I spoke to a representative who investigated the account and deemed the account FRAUD. I received a document via mail that noted that this account would be blocked and removed as fraud. This account still reflects on my credit report today.,Debt Collection
"In XXXX of XXXX, I did a XXXX XXXX XXXX with my credit union and on XX/XX/year> they mailed a check in the amount of {$3100.00} to be credited to my account ending in XXXX. I started receiving delinquent notices indicating my payment had not been received- I went back and forth between my credit union and Synchrony bank trying to find out what happened to my payment. They provided me provisional credit at least 3 times while they looked for the payment. Then they finally sent me a letter indicating that they never received nor cashed the check- even after I sent them a copy of the cancelled check from my credit union . The cancelled check clearly states it was cashed by Synchrony Bank on XXXX. My credit Union also contacted and wrote a letter about the check and sent them another copy. It has been almost a year and the check has still not been credited to my account. I got a final letter indicating that they still will not accept responsibility for the missing check. I can not put a stop payment on a paid check that old. I assure you that I have done everything I know to do except hire a lawyer to resolve this issue. Please help me recover my {$3100.00} dollars.",Credit Card Services
On XX/XX/year> we received a check for the amount of {$1000.00}. The reason given for the check was that our XXXX  account was higher than it needed to be. I called and had Rocket Mortgage re apply the check to our XXXX  account. I received a notice that our monthly payment would be increased from {$4200.00} to {$4200.00}. The reason given for the increase was an annual XXXX  analysis. I called to explain that the check that was sent to us for {$1000.00} was already re applied to XXXX. Rocket Mortgage was unable to come up with an explanation for the monthly increase in payment. I also noticed that the statement provided with the check they sent on XX/XX/year> indicated that the minimum XXXX  balance was {$0.00} which I believe is not legal.,Loans
"In accordance with the Fair Credit Reporting act. The List of accounts below has violated my federally protected consumer rights to privacy and confidentiality under 15 USC 1681.

15 U.S.C 1681 section 602 A. States I have the right to privacy.

15 U.S.C 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions 15 U.S.C 1681c. ( a ) ( 5 ) Section States : no consumer reporting agency may make any consumer report containing any of the following items of information Any other adverse item of information, other than records of convictions of crimes which antedates the report by more than seven years.

15 U.S.C. 1681s-2 ( A ) ( 1 ) A person shall not furnish any information relating to a consumer to any consumer reporting agency if the person knows or has reasonable cause to believe that the information is inaccurate.",Credit Reporting
"In XX/XX/year>, I Sent XXXX Credit Bureaus a dispute that the company WILLIAMS AND FUDGE I with a balance of {$3100.00}. The credit bureaus is reporting false information and reporting accounts that do not belong to me. I sent the company a letter and a copy of my identification card. The letter requested that the item needed to be verified and removed. I also requested they send me the steps on how they confirmed that these accounts were mine. They failed to do so, with only a response that stated the account was verified but failed to provide proof of their investigation to claim so. 606 ( b ) - 15 U.S.C. 1681d states Disclosure on request of nature and scope of the investigation. Any person who procures or causes to be prepared an investigative consumer report on any consumer shall, upon written request made by the consumer within a reasonable period of time after the receipt by him of the disclosure required by subsection ( a ) ( 1 ) of this section, make a complete and accurate disclosure of the nature and scope of the investigation requested. This disclosure shall be made in a writing mailed, or otherwise delivered, to the consumer not later than five days after the date on which the request for such disclosure was received from the consumer or such report was first requested, whichever is later. 623 ( 9 ) ( b ) ( 1 ) ( E ) ( ii ) - 15 U.S.C. 1681s-2 states, If an item of information disputed by a consumer is found to be inaccurate or incomplete or can not be verified after any reinvestigation under paragraph ( 1 ), for purposes of reporting to a consumer reporting agency only, as appropriate, based on the results of the reinvestigation promptly delete that item of information. I, the consumer, am requesting the immediate removal of this false reporting on my credit report.",Debt Collection
I called in XXXX of 2024 to change my payment due date to the beginning of the month. XXXX of the month. They said they processed my request and that it would take 2-3 months. I called back in XXXX to be told that I need to wait 10 more business days. I called back last week to be told the request did not get processed and that I need to wait another 2-3 months. I am going to lose my house. I get paid once a month. Budgeting my money is impossible with this payment being due in the XXXX of each month. How hard is it to process a due date change. Never in my life with any credit card has it been this difficult. They are playing games at my expense. Please help me,Loans
"SOLO Funds- platform crashed after update making all information vulnerable - loans are not being debited, credited, or paid back - now I can't log in - SOLO is definitely stealing customers money and one day will be MIA - this company needs to be shut down before a lot of peoples information is either sold or stolen and their money is never to be recovered - customer service is not approachable and answers with generic falsity 's - shut down SOLO!!!!!!",Loans
"I was a victim of identity theft. I was unaware of it until XX/XX/XXXX. There was vehicles purchased in my name as well as rent. I noticed on my credit report a balance owed to RENT RECOVERY SOLUTIONS {$9400.00}. Original creditor being XXXX XXXX XXXX. I've never lived in XXXX XXXX XXXX. I've only lived in XXXX XXXX. This is inaccurate information and this debt does not belong to me. 

RENT RECOVERY SOLUTIONS XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX",Debt Collection
"Last year my auto pay randomly shut off, I got it figured out via online through PNC It happened again after that and affected my credit..went to branch and they fixed the auto pay for the second time but said they couldnt fix that it put a ding on my credit ( which I know is not true ) auto pay shut off again affected credit for third time a couple months later went back to branch they assure me it wouldnt happen again. It happened for the fourth time now, affecting my credit each time. I refuse to pay them the late fees and want it off my credit score and they took it upon themselves to withdraw the fees and payments owed from my savings account without any approval. Ive been with PNC bank for 14 years",Credit Card Services
"I have had credit cards with Citibank for many years and Citibank closed my three accounts without warning by email or mail. I requested an explanation from the representative who stated that she could not tell me anything and that I would need to write a letter to Citibank. I have submitted a letter to Citibank, but not received a response.",Credit Card Services
"Trying to access account online or on mobile app results in a request to enter an access code, the issue is there is no choice of my phone number or email address to receive an access code. To get an access code results in at least a 1/2 hour wait and navigating through automated customer assistance to get to a real customer associate to get an access code. I have spoken to BofA 10 times in the last 2 weeks to get this problem fixed, there has been no resolution. This seems to be an IT issue on B of A 's end and no one will help rectify it. My contact info is correct for my account.",Bank Accounts and Services
"I am disputing the account with SUNCOAST CU, account number XXXX, opened on XX/XX/2022, with a balance of {$0.00}. It has come to my attention that someone has fraudulently applied to attend school using my personal information, despite the fact that I have never been enrolled in any educational institution. Despite my attempts to resolve this matter by contacting SUNCOAST CU, I have not received any resolution. I want to emphasize that this account is unverified and does not belong to me. I demand an immediate investigation into this fraudulent activity and urge SUNCOAST CU to cease any further actions related to this account. I expect a prompt response and the removal of this erroneous information from my records.",Debt Collection
"I filed a dispute for incorrect information on my credit report. I received an email from the credit bureau stating that they are assuming the disputes are coming from a XXXX party. They in fact did not come from a XXXX party. l even called them to verify it was me and they still refused to process my disputes. I wasted money on mailing my disputes out. I sent personal information to verify my identity through mail, just for them to not thoroughly investigate.",Credit Reporting
